student,Programming,Database,Calculus for Mechanical Engineering,Masculinity Studies,Political Inclusion,Aerodynamics,Arabic literature in the Middle Ages ,Modern history of the Arab countries,African Stories: Fiction from Francophone Africa,The French Renaissance: Humanism and Humor,Order of the sexes,Network Technology,Thermodynamics,Game Development Intro,Artificial Intelligence for Games,Web development Basics,App development Basics,Image Analysis,Backend Development with Django,Frontend Development with React.js,,Functional Programming with Elixir,Heat Transfer,Psychology of Social Work
john.wayne.student@htw.com,False ,True ,False ,False ,False ,False ,False ,False ,False ,False ,True ,True ,False ,True ,False ,True ,False ,False ,False ,True ,True ,False ,False ,False 
sarah.johnson.student@htw.com,True ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,True ,True ,True ,True ,False ,False ,False ,False 
murat.aydem.student@htw.com,True ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,True ,False ,False ,False ,False ,False ,False ,False ,False ,False ,True ,False ,False 
suen.lee.student@htw.com,True ,True ,False ,False ,False ,False ,False ,False ,False ,False ,False ,True ,False ,True ,True ,False ,True ,True ,True ,False ,False ,False ,False ,False 
robert.schwarz.student@htw.com,False ,False ,False ,False ,False ,True ,True ,False ,False ,False ,False ,False ,True ,False ,True ,False ,False ,False ,False ,False ,False ,False ,True ,False 
ilia.vanakov.student@htw.com,False ,False ,False ,False ,False ,True ,False ,False ,False ,False ,False ,False ,True ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False 
liwei.chen.student@htw.com,True ,False ,False ,False ,False ,True ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False 
ramin.oloumi.student@htw.com,Tue ,False ,True ,True ,False ,False ,False ,False ,False ,False ,False ,False ,True ,False ,False ,False ,False ,False ,False ,False ,False ,False ,True ,False 
Obi.Ayaka.student@htw.com,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False 
Mase.Noboru.student@htw.com,False ,False ,True ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False 
Odilon.Barreto.student@htw.com,False ,False ,False ,True ,False ,False ,False ,True ,True ,True ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False 
Genoveva.Barboza.student@htw.com,False ,False ,False ,False ,False ,False ,False ,False ,True ,True ,True ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False 
Raissa.Caetano.student@htw.com,False ,False ,False ,True ,True ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,True 
Alda.Amaral.student@htw.com,False ,False ,False ,False ,True ,False ,False ,True ,False ,False ,True ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,True 
Naiara.Mata.student@htw.com,True ,False ,False ,True ,True ,True ,True ,True ,True ,False ,True ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False 
Billur.Aydogdu.student@htw.com,False ,False ,False ,True ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,True 
Tolga.Cevdet.student@htw.com,False ,False ,False ,True  ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False ,False 
