name,field_of_studies,professor
Programming,1-Informatics,otto.mueller.professor@htw.com,
Database,1-Informatics,otto.mueller.professor@htw.com,
Calculus for Mechanical Engineering,3-Mechanical Engineering,bronte.huff.professor@htw.com,
Masculinity Studies,5-Gender Studies,Hanlala.al-Qasim.professor@htw.com,
Political Inclusion,4-Social Work,Rea.Saunders.professor@htw.com,
Aerodynamics,2-Aero Engineering,abeni.musa.professor@htw.com,
Arabic literature in the Middle Ages ,7-Near East Studies,Dalila.Soyinka.professor@htw.com,
Modern history of the Arab countries,7-Near East Studies,Dalila.Soyinka.professor@htw.com,
African Stories: Fiction from Francophone Africa,6-French Literature,kingsley.dunlap.professor@htw.com,
The French Renaissance: Humanism and Humor,6-French Literature,Ozan.Whyte.professor@htw.com,
Order of the sexes,5-Gender Studies,Hanlala.al-Qasim.professor@htw.com,
Network Technology,1-Informatics,charlotte.alarie.professor@htw.com,
Thermodynamics,2-Aero Engineering,abeni.musa.professor@htw.com,
Game Development Intro,1-Informatics,elena.schaetz.professor@htw.com,
Artificial Intelligence for Games,1-Informatics,elena.schaetz.professor@htw.com,
Web development Basics,1-Informatics,leonie.huehnlein.professor@htw.com,
App development Basics,1-Informatics,ana.summer.professor@htw.com,
Image Analysis,1-Informatics,mohammed.chehade.professor@htw.com,
Backend Development with Django,1-Informatics,elizabeth.preston.professor@htw.com,
Frontend Development with React.js,1-Informatics,leonie.huehnlein.professor@htw.com,
Functional Programming with Elixir,1-Informatics,stephan.lange.professor@htw.com,
Heat Transfer,3-Mechanical Engineering,stewart.little.professor@htw.com,
Psychology for Social Work,4-Social Work,Alayah.Glover.professor@htw.com,
