user,user_email,field_of_studies,area_of_expertise,institute,
9,otto.mueller.professor@htw.com,1-Informatics,,Engineering,
10,stephan.lange.professor@htw.com,1-Informatics,,Engineering,
11,elizabeth.preston.professor@htw.com,1-Informatics,,Engineering,
12,charlotte.alarie.professor@htw.com,1-Informatics,,Engineering,
13,klaus.bautler.professor@htw.com,1-Informatics,,Engineering,
14,mohammed.chehade.professor@htw.com,1-Informatics,,Engineering,
15,abeni.musa.professor@htw.com,2-Aero Engineering,,Engineering,
16,huang.xiaoming.professor@htw.com,2-Aero Engineering,,Engineering,
17,carol.mosley.administrator@htw.com,2-Aero Engineering,,Engineering,
20,elena.schaetz.professor@htw.com,1-Informatics,,Engineering,
21,leonie.huehnlein.professor@htw.com,1-Informatics,,Engineering,
22,ana.summer.professor@htw.com,1-Informatics,,Engineering,
23,yuki.takahashi.professor@htw.com,3-Mechanical Engineering,,Engineering,
24,stewart.little.professor@htw.com,3-Mechanical Engineering,,Engineering,
25,ariya.cisneros.professor@htw.com,3-Mechanical Engineering,,Engineering,
26,bronte.huff.professor@htw.com,3-Mechanical Engineering,,Engineering,
27,nancy.mccann.professor@htw.com,6-French Literature,,Languages & Regional Studies,
28,kingsley.dunlap.professor@htw.com,6-French Literature,,Languages & Regional Studies,
29,Ozan.Whyte.professor@htw.com,6-French Literature,,Languages & Regional Studies,
30,Wilfred.Maddox.professor@htw.com,4-Social Work,,Social Science,
31,Alayah.Glover.professor@htw.com,4-Social Work,,Social Science,
32,Krishan.Plant.prodessor@htw.com,4-Social Work,,Social Science,
33,Rea.Saunders.professor@htw.com,4-Social Work,,Social Science,
34,Nikita.Gunn.professor@htw.com,5-Gender Studies,,Social Science,
35,Hanlala.al-Qasim.professor@htw.com,5-Gender Studies,,Social Science,
36,Maajid.el-Hashim.professor@htw.com,5-Gender Studies,,Social Science,
37,Dalila.Soyinka.professor@htw.com,7-Near East Studies,,Languages & Regional Studies,
38,Tambika.Egwu.professor@htw.com,7-Near East Studies,,Languages & Regional Studies,
