user,user_email,field_of_studies,entry_semester,institute,
1,john.wayne.student@htw.com,1-Informatics,01-10-2018,Engineering,
2,sarah.johnson.student@htw.com,1-Informatics,01-10-2018,Engineering,
3,murat.aydem.student@htw.com,1-Informatics,01-10-2018,Engineering,
4,suen.lee.student@htw.com,1-Informatics,01-10-2018,Engineering,
5,robert.schwarz.student@htw.com,2-Aero Engineering,01-10-2018,Engineering,
6,ilia.vanakov.student@htw.com,2-Aero Engineering,01-10-2018,Engineering,
7,liwei.chen.student@htw.com,2-Aero Engineering,01-10-2018,Engineering,
8,ramin.oloumi.student@htw.com,3-Mechanical Engineering,01-10-2018,Engineering,
51,Obi.Ayaka.student@htw.com,3-Mechanical Engineering,01-10-2018,Engineering,
52,Mase.Noboru.student@htw.com,3-Mechanical Engineering,01-10-2018,Engineering,
53,Odilon.Barreto.student@htw.com,6-French Literature,01-04-2018,Languages & Regional Studies,
54,Genoveva.Barboza.student@htw.com,6-French Literature,01-04-2018,Languages & Regional Studies,
55,Raissa.Caetano.student@htw.com,4-Social Work,01-04-2018,Social Science,
56,Alda.Amaral.student@htw.com,4-Social Work,01-04-2018,Social Science,
57,Naiara.Mata.student@htw.com,5-Gender Studies,01-04-2018,Social Science,
58,Billur.Aydogdu.student@htw.com,5-Gender Studies,01-04-2018,Social Science,
59,Tolga.Cevdet.student@htw.com,5-Gender Studies,01-04-2018,Social Science,
48,Johann.Druenert.student@htw.com,1-Informatics,01-10-2018,Engineering,
49,Ricardo.Martinez.student@htw.com,1-Informatics,01-04-2018,Engineering
