email,password,name,is_active,is_staff,is_student,is_professor,is_university_administrator,avatar_num
john.wayne.student@htw.com,somePassword123,John Wayne,True ,False ,True ,False ,False,7
sarah.johnson.student@htw.com,somePassword124,Sarah Johnson,True ,False ,True ,False ,False ,4
murat.aydem.student@htw.com,somePassword125,Murat Aydem,True ,False ,True ,False ,False ,1
suen.lee.student@htw.com,somePassword126,Suen Lee,True ,False ,True ,False ,False ,5
robert.schwarz.student@htw.com,somePassword127,Robert Schwarz,True ,False ,True ,False ,False ,10
ilia.vanakov.student@htw.com,somePassword128,Ilia Vanakov,True ,False ,True ,False ,False ,2
liwei.chen.student@htw.com,somePassword129,Liwei Chen,True ,False ,True ,False ,False ,3
ramin.oloumi.student@htw.com,somePassword130,Ramin Oloumi,True ,False ,True ,False ,False ,8
otto.mueller.professor@htw.com,somePassword131,Otto Müller,True ,False ,False ,True ,False ,9
stephan.lange.professor@htw.com,somePassword132,Stephan Lange,True ,False ,False ,True ,False ,6
elizabeth.preston.professor@htw.com,somePassword133,Elizabeth Preston,True ,False ,False ,True ,False ,7
charlotte.alarie.professor@htw.com,somePassword134,Charlotte Alarie,True ,False ,False ,True ,False ,4
klaus.bautler.professor@htw.com,somePassword135,Klaus Bautler,True ,False ,False ,True ,False ,6
mohammed.chehade.professor@htw.com,somePassword136,Mohammed Chehade,True ,False ,False ,True ,False ,10
abeni.musa.professor@htw.com,somePassword137,Abeni Musa,True ,False ,False ,True ,False ,1
huang.xiaoming.professor@htw.com,somePassword138,Huang Xiaoming,True ,False ,False ,True ,False ,2
elena.schaetz.professor@htw.com,somePassword142,Elena Schätz,True ,False ,False ,True ,False ,3
leonie.huehnlein.professor@htw.com,somePassword143,Leonie Hühnlein,True ,False ,False ,True ,False ,1
ana.summer.professor@htw.com,somePassword144,Ana Summer,True ,False ,False ,True ,False ,5
yuki.takahashi.professor@htw.com,somePassword145,Yuki Takahashi,True ,False ,False ,True ,False ,8
stewart.little.professor@htw.com,somePassword146,Stewart Little,True ,False ,False ,True ,False ,9
ariya.cisneros.professor@htw.com,somePassword147,Ariya Cisneros,True ,False ,False ,True ,False ,4
bronte.huff.professor@htw.com,somePassword148,Bronte Huff,True ,False ,False ,True ,False ,7
nancy.mccann.professor@htw.com,somePassword149,Nancy Mccann,True ,False ,False ,True ,False ,1
kingsley.dunlap.professor@htw.com,somePassword150,Kingsley Dunlap,True ,False ,False ,True ,False ,3
Ozan.Whyte.professor@htw.com,somePassword151,Ozan Whyte,True ,False ,False ,True ,False ,10
Wilfred.Maddox.professor@htw.com,somePassword152,Wilfred Maddox,True ,False ,False ,True ,False ,2
Alayah.Glover.professor@htw.com,somePassword153,Alayah Glover,True ,False ,False ,True ,False ,5
Krishan.Plant.prodessor@htw.com,somePassword154,Krishan Plant,True ,False ,False ,True ,False ,6
Rea.Saunders.professor@htw.com,somePassword155,Rea Saunders,True ,False ,False ,True ,False ,9
Nikita.Gunn.professor@htw.com,somePassword156,Nikita Gunn,True ,False ,False ,True ,False ,2
Hanlala.al-Qasim.professor@htw.com,somePassword157,Hanlala al-Qasim,True ,False ,False ,True ,False ,7
Maajid.el-Hashim.professor@htw.com,somePassword158,Maajid el-Hashim,True ,False ,False ,True ,False ,10
Dalila.Soyinka.professor@htw.com,somePassword159,Dalila Soyinka,True ,False ,False ,True ,False ,3
Tambika.Egwu.professor@htw.com,somePassword160,Tambika Egwu,True ,False ,False ,True ,False ,4
Shambhavi.Shiravadakar.student@htw.com,somePassword172,Shambhavi Shiravadakar,True ,False ,True ,False ,False ,1
Obi.Ayaka.student@htw.com,somePassword173,Obi Ayaka,True ,False ,True ,False ,False ,5
Mase.Noboru.student@htw.com,somePassword174,Mase Noboru,True ,False ,True ,False ,False ,8
Odilon.Barreto.student@htw.com,somePassword175,Odilon Barreto,True ,False ,True ,False ,False ,4
Genoveva.Barboza.student@htw.com,somePassword176,Genoveva Barboza,True ,False ,True ,False ,False ,7
Raissa.Caetano.student@htw.com,somePassword177,Raissa Caetano,True ,False ,True ,False ,False ,10
Alda.Amaral.student@htw.com,somePassword178,Alda Amaral,True ,False ,True ,False ,False ,3
Naiara.Mata.student@htw.com,somePassword179,Naiara Mata,True ,False ,True ,False ,False ,8
Billur.Aydogdu.student@htw.com,somePassword180,Billur Aydogdu,True ,False ,True ,False ,False ,9
Tolga.Cevdet.student@htw.com,somePassword181,Tolga Cevdet,True ,False ,True ,False ,False ,2
Johann.Druenert.student@htw.com,somePassword182,Johann Druenert,True ,False ,True ,False ,False ,8
Ricardo.Martinez.student@htw.com,somePassword183,Ricardo Martinez,True ,False ,True ,False ,False ,6
